--_BeginData_
NUS|FIN3SS3|100,959.31|103,917.47|2.93
NUS|iTeam|104,860.07|107,887.44|2.89
NTU|G2|100,000|102,869.26|2.87
SMU|Fundamentally Technical|101,219.32|104,122.51|2.87
SIM|JustVim|89,777.29|92,330.53|2.84
NUS|88888|109,121.33|112,182.27|2.81
NTU|Veles |109,820.35|112,812.69|2.72
NUS|Team of Awesome|84,284.04|86,574.04|2.72
NP|KYO|100,192.79|102,888.98|2.69
NUS|No Early Bird|93,473.19|95,973.19|2.67
NUS|Sunchbe|100,226.07|102,826.07|2.59
NUS|Three Blind Mice|97,590.28|100,102.63|2.57
SMU|Team ASA|99,467.56|102,026.56|2.57
NUS|Huat|93,917.31|96,317.31|2.56
NTU|soloist|79,324.1|81,334.1|2.53
NTU|Topmod|77,532.72|79,473.89|2.5
NTU|SEEKER|111,827.51|114,589.29|2.47
NUS|TUP|109,601.27|112,280.61|2.44
NTU|Toto Team|79,246.42|81,163.58|2.42
SMU|Team |101,234.43|103,653.34|2.39
TP|INTEGRITY|80,569.61|82,484.33|2.38
SIM|ST Securities |110,225.79|112,831.08|2.36
SMU|smuggerz|102,435.26|104,782.63|2.29
NTU|30k|100,290.58|102,490.58|2.19
NTU|BullsWay|97,539.83|99,599.64|2.11
NP|The NP Brokers|98,327.32|100,360.23|2.07
NTU|PXRZ|115,402.73|117,704.79|1.99
NTU|yvyx9|98,839.27|100,808.9|1.99
NTU|hello|76,916.36|78,431.36|1.97
SMU|CCNZ|77,344.11|78,823.23|1.91
NP|CK|99,219.69|101,094.69|1.89
NUS|Munch&Crunch|103,209.07|105,159.26|1.89
NTU|Trend Riders|110,531.89|112,613.9|1.88
NTU|888 Capital|104,043.27|105,990.23|1.87
OU|PON|89,159.85|90,816.28|1.86
NTU|Fantastic 4|113,009.58|115,057.8|1.81
NUS|MQF|77,182.26|78,568.03|1.8
SMU|EvilGeniuses|80,000|81,426.11|1.78
NUS|Very Big Money|78,544.5|79,933.03|1.77
NTU|Jumper|108,361.38|110,264.62|1.76
NTU|Gemini|112,124.71|114,085.88|1.75
NTU|SWG|110,166.1|112,070.2|1.73
NUS|Team Triumph|88,669.48|90,192.68|1.72
SMU|Traders|98,962.54|100,647.23|1.7
NTU|kookaburra|109,442.72|111,295.96|1.69
NTU|ixviyu|97,746.42|99,392.76|1.68
SIM|PMG Tuition|110,594.84|112,441.21|1.67
NTU|The Amateurs|79,439.42|80,742.33|1.64
NTU|The Market Changers|108,557.45|110,290.84|1.6
NTU|TraderDuo|101,803|103,425.77|1.59
SIM|Winner|98,760.81|100,316.16|1.57
TP|Entirety|109,693.58|111,409.1|1.56
NTU|GTL|109,756.36|111,441.34|1.54
NUS|Prospectors|99,640.88|101,144.12|1.51
NTU|SP DME 07|78,935.83|80,124.06|1.51
NUS|LV|79,478.71|80,671.91|1.5
SMU|AlphaPlus |97,931.02|99,365.74|1.47
SMU|Temasek Holdingzzzz!|100,844.74|102,311.98|1.45
NUS|Team AC|110,391.13|111,997.27|1.45
NUS|Angeline|108,786.19|110,359.96|1.45
NTU|Dark Horse|80,085.44|81,236.53|1.44
NUS|AGAPE|125,659.1|127,465.2|1.44
SIM|Sibei jialat|97,809.49|99,209.49|1.43
NTU|Diversification |109,845.19|111,410.38|1.42
NTU|2046|108,679.31|110,216.32|1.41
NP|Challenger|98,896.13|100,289.1|1.41
SIM|Canopus|98,946.36|100,309.5|1.38
NTU|chiching|106,864|108,307.18|1.35
NP|chichimgo|109,303.63|110,771.55|1.34
NTU|ACS|103,657.66|105,039.71|1.33
NUS|Fish Market |97,223.22|98,473.22|1.29
RP|Young and dangerous|99,973.21|101,254.54|1.28
NTU|U6F1|112,596.04|114,038.97|1.28
NP|Team Oreo|109,367.55|110,758.95|1.27
NTU|GBGS|98,436.59|99,674.67|1.26
NUS|TEAM RENUS|80,000|80,996.41|1.25
NUS|Aces Elite|79,530.22|80,514.24|1.24
NUS|TEAM OYA|103,074.73|104,344.73|1.23
