--_BeginData_
NP|Two and a half men|88,355.98|115,435.98|30.65
NUS|Aeon|92,388.07|110,301.97|19.39
NTU|investeam|98,929.6|112,407.36|13.62
NP|StocKings|124,085.95|138,869.43|11.91
NTU|Dark Horse|81,236.53|88,425.65|8.85
SIM|TEAM SY|104,569.56|112,671.18|7.75
NTU|ABC|105,467.56|113,491.83|7.61
NUS|THOTH|113,909.87|121,916.66|7.03
SIM|iTrade|96,102.95|102,549.26|6.71
SMU|Analytics|114,250.18|121,579.24|6.41
SMU|le derp|129,493.44|137,479.03|6.17
NTU|La Boeuf|117,435.42|124,675.05|6.16
NTU|FENC|105,112.6|111,517.6|6.09
NUS|Team of Awesome|86,574.04|91,797.75|6.03
SMU|2C Capital|99,271.07|105,139.43|5.91
NUS|Salsa Milo|71,164.41|75,309.99|5.83
SIM|Legacy|105,066.33|110,396.33|5.07
NUS|Aces Elite|80,514.24|84,551.69|5.01
NTU|Market Ranger|77,102|80,347.46|4.21
NTU|Buck's Life|78,425.72|81,431.26|3.83
NUS|ROOKIE|118,423.04|122,920.16|3.8
NTU|whatever|113,037.2|117,306.8|3.78
NTU|Yellow|111,368.34|115,368.34|3.59
NP|The NP Brokers|100,360.23|103,960.23|3.59
SMU|DIGNITAS|95,271.05|98,654.16|3.55
NUS|Geeks Up|119,068.31|123,221.56|3.49
SMU|A to Z|100,046.37|103,446.37|3.4
NTU|VFV|89,557.93|92,554.59|3.35
SMU|PLATedge|79,346.44|81,988.94|3.33
NUS|Megamind|90,516.58|93,432.62|3.22
NP|NP Moneyface|109,775.52|113,300.52|3.21
SMU|Ignite|101,837.67|105,084.05|3.19
NTU|Tradecom|100,333.2|103,506.42|3.16
SMU|The Hammer|110,969.59|114,369.59|3.06
NUS|Prosperity 3|135,609.84|139,613.06|2.95
NTU|RX|110,269.04|113,265.16|2.72
NUS|k|100,191.41|102,880.95|2.68
NTU|Victorious Secret|99,019.66|101,569.66|2.58
SMU|High5|98,442|100,967|2.56
SMU|Team LM|79,224.35|81,247.54|2.55
SMU|Cash is King|75,974.34|77,761.53|2.35
TP|SDQ Investments|99,917.84|102,248.48|2.33
NTU|Topmod|79,473.89|81,276.78|2.27
NTU|EPIC|100,059.71|102,279.29|2.22
OU|BGS Capital|88,897.9|90,863.35|2.21
NP|Defonce|110,459.78|112,831.67|2.15
SMU|SMUSKTEERS|98,798.09|100,912.65|2.14
TP|Team Spade|110,849.46|113,212.39|2.13
NUS|Chye Tow Kuay(XO)|99,394.46|101,494.46|2.11
NUS|AAA|109,942.85|112,201.23|2.05
NP|KYO|102,888.98|104,887.05|1.94
SMU|Technical turtle|100,539.62|102,462.81|1.91
NUS|Polaris|105,076.66|107,036.98|1.87
NP|Students|102,870.61|104,773.83|1.85
NUS|Bo2W|108,797.71|110,800.55|1.84
NUS|TUP|112,280.61|114,295.43|1.79
TP|Supernova|100,163.79|101,843.79|1.68
NTU|AC/BS fighters|101,307.93|102,967.93|1.64
NTU|MSDS|79,712.25|80,980.17|1.59
NUS|Alpha|100,093.44|101,653.37|1.56
SMU|GreatGamblersPlusOne|79,395.3|80,620.3|1.54
TP|INVEST|79,690.6|80,866.2|1.48
SIM|EKTS|95,325.78|96,682.18|1.42
