--_BeginData_
NTU|Gemini|110000.000|116524.710|5.9315545454545455
NUS|Munch&Crunch|100000.000|105361.070|5.3610700000000000
TP|Dreamfly|110000.000|115803.810|5.2761909090909091
SMU|smuggerz|100000.000|105043.500|5.0435000000000000
SP|Only for the money|100000.000|105024.420|5.0244200000000000
NTU|The Eagles|100000.000|104841.780|4.8417800000000000
TP|Flair|90000.000|94296.330|4.7737000000000000
NTU|TTR|100000.000|104762.410|4.7624100000000000
NTU|WC Trust Fund|100000.000|104681.890|4.6818900000000000
NUS|Starducks|100000.000|104542.400|4.5424000000000000
TP|Supernova|100000.000|104523.790|4.5237900000000000
SMU|Big Swinging Bananas|80000.000|83587.700|4.4846250000000000
NP|We trade, We make, We hire you|100000.000|104478.470|4.4784700000000000
NUS|NUSMU|100000.000|104343.942|4.3439420000000000
NTU|Diversification |110000.000|114755.191|4.3229009090909091
NTU|yvyx9|100000.000|104129.270|4.1292700000000000
NTU|Xing Ji|100000.000|104081.320|4.0813200000000000
NTU|Team Ingenium|110000.000|114463.729|4.0579354545454545
NTU|whatever|110000.000|114419.300|4.0175454545454545
NUS|DongKeys|100000.000|103944.000|3.9440000000000000
SMU|Catalyst|100000.000|103826.060|3.8260600000000000
RP|RPRP|100000.000|103815.500|3.8155000000000000
NTU|TryMe|80000.000|83013.748|3.7671850000000000
NTU|Knowledge.Investment.Management|100000.000|103744.210|3.7442100000000000
NUS|Prosperity 3|110000.000|114083.540|3.7123090909090909
NTU|Bulldozer|80000.000|82892.800|3.6160000000000000
NUS|Pinnacle Traders|100000.000|103606.720|3.6067200000000000
NTU|U6F1|110000.000|113914.270|3.5584272727272727
NTU|2135|80000.000|82823.324|3.5291550000000000
NTU|Fantastic 4|110000.000|113869.580|3.5178000000000000
NUS|Chye Tow Kuay(XO)|100000.000|103505.765|3.5057650000000000
SIM|Hustler|100000.000|103462.650|3.4626500000000000
SMU|The Brokers|100000.000|103455.540|3.4555400000000000
NTU|ACS|110000.000|113733.660|3.3942363636363636
NUS|88888|110000.000|113725.332|3.3866654545454545
NTU|WinWin|110000.000|113696.960|3.3608727272727273
NUS|Dual Intelligence |100000.000|103339.260|3.3392600000000000
SIM|Neotactics|110000.000|113650.320|3.3184727272727273
NTU|United|100000.000|103315.960|3.3159600000000000
NP|MFZ NETWORK|110000.000|113628.880|3.2989818181818182
NP|Inexperience Duo|110000.000|113587.650|3.2615000000000000
SMU|ONE|100000.000|103234.955|3.2349550000000000
SMU|Ignite|100000.000|103217.080|3.2170800000000000
NTU|SWG|110000.000|113489.340|3.1721272727272727
NTU|Team Traders|100000.000|103154.910|3.1549100000000000
NUS|Born.To.Win|100000.000|103085.710|3.0857100000000000
NUS|Gingerbread|100000.000|103078.750|3.0787500000000000
NTU|Underdogs|100000.000|103029.590|3.0295900000000000
SMU|buffet_spread|100000.000|103006.420|3.0064200000000000
SIM|speculators|90000.000|92625.210|2.9169000000000000
OU|PON|90000.000|92613.086|2.9034288888888889
NTU|Super warior|100000.000|102892.760|2.8927600000000000
NTU|2046|110000.000|113132.540|2.8477636363636364
NTU|FENC|100000.000|102842.600|2.8426000000000000
NUS|TUP|110000.000|113091.270|2.8102454545454545
NTU|Ah Huat|100000.000|102796.370|2.7963700000000000
NTU|Techies|100000.000|102739.096|2.7390960000000000
NTU|Team Dereks|100000.000|102709.820|2.7098200000000000
NTU|emosewa|110000.000|112977.740|2.7070363636363636
NTU|Team Wally|110000.000|112973.640|2.7033090909090909
NUS|Geeks Up|110000.000|112939.550|2.6723181818181818
NTU|Sunder|110000.000|112925.470|2.6595181818181818
NUS|ROOKIE|110000.000|112885.550|2.6232272727272727
NUS|THOTH|110000.000|112864.370|2.6039727272727273
NTU|Four Wonders|100000.000|102572.506|2.5725060000000000
NTU|Team 2|100000.000|102554.280|2.5542800000000000
NTU|Partial Fractions|80000.000|82035.180|2.5439750000000000
SP|Team Terry|80000.000|82012.470|2.5155875000000000
SMU|Econ CU |110000.000|112757.230|2.5065727272727273
NTU|30k|100000.000|102500.575|2.5005750000000000
NTU|Les Pandas|110000.000|112744.893|2.4953572727272727
NTU|Martingale|100000.000|102466.070|2.4660700000000000
SIM|W.H.Y|80000.000|81972.580|2.4657250000000000
NTU|ANQ|110000.000|112696.408|2.4512800000000000
NTU|RX|110000.000|112694.910|2.4499181818181818
SMU|Above All|100000.000|102405.170|2.4051700000000000
NP|Challenger|100000.000|102398.110|2.3981100000000000
NTU|Tradecom|100000.000|102391.680|2.3916800000000000
NTU|The Market Changers|110000.000|112617.660|2.3796909090909091
RP|PsuedoSmart|100000.000|102373.750|2.3737500000000000
NTU|Pips' Miner|100000.000|102373.082|2.3730820000000000
SMU|Aggro Crag|80000.000|81884.090|2.3551125000000000
NTU|Annyeong|110000.000|112563.980|2.3308909090909091
NUS|2114|80000.000|81858.216|2.3227700000000000
SIM|RhJh|110000.000|112428.015|2.2072863636363636
NP|Huat Ah|100000.000|102178.070|2.1780700000000000
NTU|Blue Chips|100000.000|102106.470|2.1064700000000000
NTU|MunnyMunny|110000.000|112303.630|2.0942090909090909
NUS|MarginTraders|80000.000|81632.704|2.0408800000000000
NTU|Tac|110000.000|112199.300|1.9993636363636364
NP|Two and a half men|100000.000|101995.580|1.9955800000000000
NP|Beast|100000.000|101944.290|1.9442900000000000
NTU|Croc|100000.000|101936.200|1.9362000000000000
SMU|Traders|100000.000|101922.540|1.9225400000000000
RP|Lotus|90000.000|91624.670|1.8051888888888889
